Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,116.650002,117.300003,116.220001,116.879997,113.572968,740900
2019-03-12,117.339996,117.339996,115.370003,116.290001,112.999680,902800
2019-03-13,116.980003,118.849998,116.320000,117.120003,113.806183,995600
2019-03-14,117.040001,117.279999,115.470001,116.449997,113.155136,991600
2019-03-15,116.839996,118.449997,116.769997,117.180000,113.864487,1142000
2019-03-18,117.629997,118.730003,117.379997,118.300003,114.952797,1309100
2019-03-19,118.949997,119.449997,116.970001,117.440002,114.117134,1084200
2019-03-20,117.099998,117.099998,115.199997,116.000000,112.717873,1548000
2019-03-21,115.570000,118.010002,115.279999,117.769997,114.437790,728200
2019-03-22,117.279999,117.449997,115.129997,115.580002,112.309761,1423000
2019-03-25,115.169998,115.599998,113.860001,114.500000,111.260315,1559000
2019-03-26,111.800003,115.809998,111.339996,113.110001,109.909645,2616100
2019-03-27,113.470001,113.750000,110.629997,110.989998,107.849632,1860000
2019-03-28,111.290001,112.769997,110.739998,112.449997,109.268311,1342500
2019-03-29,112.830002,114.820000,112.540001,114.620003,111.376923,1558500
2019-04-01,115.790001,117.169998,115.309998,115.610001,112.338905,1615500
2019-04-02,115.610001,116.510002,115.169998,116.260002,112.970512,1090700
2019-04-03,116.959999,117.059998,115.559998,116.629997,113.330048,981900
2019-04-04,117.010002,117.010002,115.629997,115.870003,112.591560,763400
2019-04-05,115.839996,117.480003,115.839996,117.269997,113.951942,911800
2019-04-08,117.279999,118.949997,116.919998,118.419998,115.069405,1843100
2019-04-09,117.540001,118.309998,115.010002,115.320000,112.057121,1229000
2019-04-10,115.839996,116.760002,115.580002,116.510002,113.213448,1015600
2019-04-11,116.870003,119.019997,116.860001,118.940002,115.574699,1264400
2019-04-12,119.779999,122.059998,119.570000,121.940002,118.489807,1757200
2019-04-15,122.379997,122.519997,121.540001,122.459999,118.995102,1550700
2019-04-16,123.300003,124.379997,122.860001,124.110001,120.598412,1654000
2019-04-17,124.639999,124.809998,123.070000,123.239998,119.753029,1982700
2019-04-18,123.610001,123.900002,119.510002,120.989998,117.566689,2415400
2019-04-22,120.059998,120.779999,119.750000,120.410004,117.003105,1351200
