Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,70.000000,73.949997,69.500000,73.300003,71.020851,363400
2019-03-12,74.419998,77.970001,74.419998,75.529999,73.181503,498800
2019-03-13,76.779999,79.098000,76.650002,77.870003,75.448753,408400
2019-03-14,80.220001,82.995003,76.586998,77.739998,75.322792,632100
2019-03-15,77.540001,80.500000,77.269997,80.290001,77.793503,467300
2019-03-18,80.449997,86.290001,80.349998,86.209999,83.529434,525000
2019-03-19,88.989998,89.889999,85.279999,89.870003,87.075630,723500
2019-03-20,87.900002,90.470001,86.050003,88.360001,85.612579,541100
2019-03-21,87.870003,91.320000,87.870003,90.080002,87.279106,482900
2019-03-22,90.680000,93.239998,86.300003,87.750000,85.021553,590900
2019-03-25,87.779999,89.250000,83.000000,85.480003,82.822144,505300
2019-03-26,86.000000,90.669998,85.760002,89.019997,86.252060,407900
2019-03-27,89.010002,89.500000,82.620003,87.000000,84.294868,406700
2019-03-28,87.120003,87.988998,84.302002,84.690002,82.483337,366900
2019-03-29,84.589996,84.991997,80.669998,81.690002,79.561501,577200
2019-04-01,82.510002,83.705002,78.150002,79.940002,77.857094,593200
2019-04-02,79.500000,79.750000,76.160004,76.900002,74.896317,698300
2019-04-03,76.500000,78.959999,75.559998,76.980003,74.974220,520400
2019-04-04,76.970001,80.650002,75.559998,80.180000,78.090843,527300
2019-04-05,80.519997,84.250000,80.519997,82.580002,80.428314,703500
2019-04-08,84.110001,84.870003,82.599998,83.430000,81.256165,381900
2019-04-09,83.050003,84.029999,80.629997,81.989998,79.853683,493400
2019-04-10,82.089996,85.637001,82.089996,85.019997,82.804733,467000
2019-04-11,84.830002,86.349998,82.510002,84.029999,81.840530,363400
2019-04-12,84.029999,84.739998,82.750000,84.699997,82.493065,286400
2019-04-15,84.660004,84.839996,80.010002,83.349998,81.178246,437500
2019-04-16,83.510002,84.489998,81.389999,81.739998,79.610199,294800
2019-04-17,82.209999,82.709999,79.320000,80.379997,78.285637,394100
2019-04-18,80.010002,81.851997,80.000000,80.739998,78.636253,303400
2019-04-22,80.800003,82.203003,79.349998,80.620003,78.519386,300500
2019-04-23,80.750000,83.959999,80.750000,83.919998,81.733391,307500
2019-04-24,83.970001,85.370003,82.714996,84.230003,82.035332,261100
2019-04-25,84.000000,87.110001,82.820000,86.599998,84.343567,296700
2019-04-26,87.099998,87.989998,85.754997,86.849998,84.587051,257400
2019-04-29,87.000000,87.875999,85.720001,86.910004,84.645493,230800
2019-04-30,86.900002,87.550003,82.849998,85.139999,82.921608,337100
2019-05-01,85.099998,87.699997,84.500000,85.720001,83.486504,277200
2019-05-02,85.519997,87.900002,84.000000,84.540001,82.337242,246000
2019-05-03,84.900002,86.699997,84.720001,86.209999,83.963730,314600
2019-05-06,84.839996,85.695999,83.550003,84.059998,81.869743,247300
2019-05-07,84.050003,84.510002,78.730003,79.489998,77.418823,482600
2019-05-08,79.559998,81.720001,79.550003,80.489998,78.392769,264100
2019-05-09,81.129997,81.800003,78.900002,79.599998,77.525955,331000
2019-05-10,79.000000,84.269997,78.949997,81.230003,79.113495,597900
2019-05-13,80.680000,81.919998,79.714996,79.989998,77.905800,309700
2019-05-14,81.000000,82.708000,80.500000,82.139999,79.999771,340500
2019-05-15,81.870003,87.580002,81.720001,86.440002,84.187737,425800
2019-05-16,87.400002,90.349998,86.739998,89.010002,86.690773,410900
2019-05-17,88.349998,91.269997,88.250000,88.860001,86.544685,368700
2019-05-20,88.449997,88.779999,83.511002,83.709999,81.528862,334200
2019-05-21,85.720001,86.099998,84.599998,85.239998,83.018997,234500
2019-05-22,85.239998,88.809998,85.000000,87.410004,85.132462,235600
2019-05-23,87.199997,88.250000,85.186996,86.610001,84.353310,268700
2019-05-24,87.150002,89.190002,87.010002,87.290001,85.015594,211600
2019-05-28,87.930000,89.419998,85.790001,86.480003,84.226692,467800
2019-05-29,86.000000,86.141998,81.227997,81.699997,79.571236,389400
2019-05-30,82.000000,84.400002,82.000000,84.059998,81.869743,214000
2019-05-31,82.099998,84.959999,81.699997,84.029999,81.840530,176200
2019-06-03,84.029999,84.760002,82.139999,84.120003,81.928192,276300
2019-06-04,84.459999,85.500000,83.059998,84.699997,82.493065,328300
2019-06-05,85.220001,92.010002,85.220001,92.010002,89.612602,541800
2019-06-06,92.099998,96.599998,89.099998,92.660004,90.245674,757500
2019-06-07,93.660004,96.750000,93.505997,95.190002,92.709755,295400
2019-06-10,97.680000,99.871002,95.680000,98.489998,95.923759,447500
2019-06-11,99.000000,99.750999,90.730003,94.580002,92.115646,385000
2019-06-12,95.080002,99.050003,95.080002,98.459999,95.894547,229900
2019-06-13,99.349998,102.299004,98.739998,100.910004,98.280716,273700
